delayWeeks,averageScore,loginFrequency,gapDepth,recencyRatio,weakSkillRatio,avgFocusScore,hasAttentionData,caughtUp,examGrade
0.0,81.5,1.711111111111111,0.0,0.8928571428571429,0.0,0.0,0.0,1,16.48
0.21428571428571427,69.0,2.2555555555555555,0.0,1.0,0.0,0.0,0.0,1,13.080000000000002
0.0,71.5,3.5777777777777775,0.0,1.0,0.0,0.0,0.0,1,15.26
2.0,49.5,2.1,0.0,1.0,0.5,0.0,0.0,1,11.0
0.7142857142857143,74.0,3.811111111111111,0.0,0.8571428571428572,0.0,0.0,0.0,1,13.380000000000003
0.07142857142857142,67.5,2.333333333333333,0.0,0.7857142857142857,0.0,0.0,0.0,1,13.56
0.21428571428571427,72.0,2.8,0.0,1.0,0.0,0.0,0.0,1,14.5
0.0,70.0,3.6555555555555554,0.0,0.9642857142857143,0.0,0.0,0.0,1,14.240000000000002
0.0,75.5,3.888888888888889,0.0,1.0,0.0,0.0,0.0,1,15.8
0.0,72.0,3.111111111111111,0.0,0.75,0.0,0.0,0.0,1,14.8
0.0,73.5,3.111111111111111,0.0,0.8571428571428572,0.0,0.0,0.0,1,14.740000000000002
0.0,69.0,2.1,0.0,0.3928571428571429,0.0,0.0,0.0,1,16.16
0.0,79.0,4.122222222222222,0.0,0.9642857142857143,0.0,0.0,0.0,1,15.280000000000001
0.0,62.5,4.666666666666666,0.0,1.0,0.5,0.0,0.0,1,14.240000000000002
0.0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0,13.466666666666667
0.0,59.5,1.7888888888888888,0.0,0.5714285714285714,0.5,0.0,0.0,1,10.700000000000001
0.0,84.0,3.888888888888889,0.0,0.9642857142857143,0.0,0.0,0.0,1,15.940000000000001
0.21428571428571427,39.0,0.4666666666666667,0.0,0.0,0.5,0.0,0.0,0,9.371428571428572
0.0,66.5,3.5777777777777775,0.0,0.8571428571428572,0.0,0.0,0.0,1,13.16
0.0,74.5,3.033333333333333,0.0,0.75,0.0,0.0,0.0,1,13.9
0.8571428571428572,74.5,3.6555555555555554,0.0,1.0,0.0,0.0,0.0,1,13.8
0.0,60.5,2.8777777777777778,0.0,1.0,0.5,0.0,0.0,1,12.120000000000001
0.0,65.5,1.9444444444444444,0.0,0.5,0.0,0.0,0.0,1,13.740000000000002
0.0,74.0,3.6555555555555554,0.0,0.9642857142857143,0.0,0.0,0.0,1,14.32
0.0,83.0,4.977777777777778,0.0,0.9642857142857143,0.0,0.0,0.0,1,15.200000000000001
0.0,73.0,1.2444444444444445,0.0,0.3214285714285714,0.0,0.0,0.0,1,15.42
1.3571428571428572,81.5,3.5,0.0,1.0,0.0,0.0,0.0,1,15.780000000000001
1.6428571428571428,66.5,1.7294117647058824,0.0,0.9642857142857143,0.0,0.0,0.0,0,11.72
0.0,54.0,0.9333333333333333,0.0,0.2142857142857143,1.0,0.0,0.0,1,10.840000000000002
0.07142857142857142,63.5,2.488888888888889,0.0,0.9642857142857143,0.0,0.0,0.0,1,12.740000000000002
1.0,80.0,4.044444444444444,0.5,1.0,0.0,0.0,0.0,1,16.3
0.5,79.0,6.066666666666666,0.0,1.0,0.0,0.0,0.0,1,15.46
0.0,71.0,1.4777777777777776,0.0,0.7142857142857143,0.0,0.0,0.0,1,14.46
0.0,76.5,3.422222222222222,0.0,0.9642857142857143,0.0,0.0,0.0,1,14.16
1.5,71.0,2.8,0.0,0.5714285714285714,0.0,0.0,0.0,1,11.96
0.0,74.5,2.9555555555555553,0.0,0.6071428571428572,0.0,0.0,0.0,1,14.840000000000002
0.0,68.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,1,11.8
0.42857142857142855,73.5,3.888888888888889,0.0,0.6071428571428572,0.0,0.0,0.0,1,14.14
1.0,67.5,2.6444444444444444,0.0,0.4285714285714286,0.0,0.0,0.0,1,13.880000000000003
0.0,83.5,4.511111111111111,0.0,0.4642857142857143,0.0,0.0,0.0,0,16.040000000000003
0.0,64.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,1,13.46
0.0,85.0,3.7333333333333334,0.0,0.9642857142857143,0.0,0.0,0.0,1,16.76
0.0,61.5,1.7888888888888888,0.0,0.8928571428571429,0.5,0.0,0.0,0,11.600000000000001
0.0,76.5,5.7555555555555555,0.0,1.0,0.0,0.0,0.0,1,16.34
0.0,75.5,2.1777777777777776,0.0,0.2142857142857143,0.0,0.0,0.0,1,14.4
6.0,45.0,0.5444444444444444,0.5,0.0,1.0,0.0,0.0,0,9.0
0.7857142857142857,70.5,2.333333333333333,0.0,1.0,0.0,0.0,0.0,1,15.06
0.14285714285714285,62.5,5.366666666666666,0.0,1.0,0.0,0.0,0.0,1,14.12
0.0,56.0,1.4,0.0,0.0,0.5,0.0,0.0,1,10.64
